# Source: 19h15m11.558s +10d56m44.905s   fixed_params: abp   flux-scale systematic: 5.0%
# Zero level: dooff=True  fixoffset=False  seeded from map: True
# Flux_Error_Total = sqrt(max(fit_err, local_rms)^2 + (frac*flux)^2)
# Bkg is the annulus median.
# Filename                                 MJD          Flux (Jy)      Fit_Err (Jy)   RMS (Jy/bm)    Err_Total (Jy) Bkg (Jy/bm)
1704610349 60316.35345  0.245965       0.000198       0.000198       0.012300       0.000049
1705896778 60331.25666  0.386127       0.000253       0.000253       0.019308       -0.000003
1707019934 60344.25313  0.078136       0.000102       0.000102       0.003908       0.000064
1708313133 60359.20976  0.085463       0.000082       0.000082       0.004274       0.000037
1709519895.full_1284.full_pol_1024ch_1024ch_GRS1915.ms_pcalmask-MFS-image.fits 60373.17869  0.061327       0.000108       0.000108       0.003068       0.000081
1710551895 60385.15137  0.052256       0.000101       0.000101       0.002615       0.000069
1711241475 60393.10611  0.054229       0.000123       0.000123       0.002714       0.000045
1711842423 60400.07132  0.045948       0.000086       0.000086       0.002299       0.000057
1712964345 60413.07054  0.037581       0.000089       0.000089       0.001881       0.000063
1714347567 60429.06770  0.028082       0.000074       0.000074       0.001406       0.000040
1715463973 60441.98789  0.025344       0.000076       0.000076       0.001270       0.000060
1716070768 60448.99841  0.022989       0.000050       0.000050       0.001151       0.000033
1716674983 60455.99089  0.019446       0.000083       0.000083       0.000976       0.000030
1717877016 60469.93946  0.017140       0.000055       0.000055       0.000859       0.000036
1718044512 60471.86218  0.004661       0.000076       0.000076       0.000245       -0.000064
1718477729 60476.90662  0.015799       0.000098       0.000098       0.000796       0.000055
1719678795 60490.82179  0.013286       0.000076       0.000076       0.000669       0.000045
1720453338 60499.83089  0.014849       0.000068       0.000068       0.000746       0.000057
1721062815 60506.79486  0.016048       0.000085       0.000085       0.000807       -0.000013
1722101177 60518.81090  0.017323       0.000084       0.000084       0.000870       -0.000006
1722873075 60527.75738  0.016055       0.000092       0.000092       0.000808       0.000039
1723909876 60539.72964  0.010841       0.000077       0.000077       0.000547       0.000050
1724507539 60546.64454  0.008233       0.000110       0.000110       0.000426       0.000005
1725115877 60553.70953  0.001609       0.000098       0.000098       0.000126       0.000038
1725197055 60554.62672  0.006702       0.000116       0.000116       0.000355       0.000057
1726494315 60569.64269  0.004903       0.000061       0.000061       0.000253       0.000034
1726920975 60574.57929  0.004237       0.000072       0.000072       0.000224       -0.000014
1728903370 60597.55340  0.003686       0.000096       0.000096       0.000208       0.000045
1729424896 60603.57358  0.003720       0.000056       0.000056       0.000194       0.000031
1731232274 60624.43668  0.003961       0.000086       0.000086       0.000216       0.000108
1732268475 60636.48240  0.014917       0.000074       0.000074       0.000749       0.000013
